JOB NUMBER,SOLDER PUMP [RPM],USE AUTOFLUX?,timestamp,USE IR PREHEAT?,PART TYPE,PART THICKNESS [mm],SOLDER SPEED [mm/s],PREHEAT TIME [s]
Niki2,600,0,2018-Jun-18 07:56:13,1,SOIC,0.000000000000,500,30
Peter_Test,600,0,2018-Jun-18 12:30:29,1,SOIC,1.000000000000,500,30
