JOB NUMBER,SOLDER PUMP [RPM],USE AUTOFLUX?,timestamp,USE IR PREHEAT?,PART THICKNESS [mm],SOLDER SPEED [mm/s],PREHEAT TIME [s]
DEMO777,550,1,2018-Mar-14 16:45:10,1,1.2,400,30
DEMO779,550,1,2018-Mar-14 16:45:59,1,1.200000000000,400,30
DEMO615,550,0,2018-Jun-15 10:28:20,1,0.800000000000,400,10
DEMO6152,550,0,2018-Jun-15 10:30:35,1,1.000000000000,400,5
